env_seed,episode_id,total_timesteps,stuck,mean_velocity,total_distance,collision_times,time_to_first_collision,distance_to_first_collision
3444837047,0,157,True,1.57056999578873,12.3167940041783,14,137,11.9386150356498
2669555309,0,142,True,1.37503252188117,9.82838507713727,15,25,0.831458906974973
2046530742,0,130,True,1.3023575327009,8.50627398565452,14,117,8.49547000577528
3581440988,0,114,True,1.35338238580542,7.78194094819899,13,99,7.70760162078937
1691623607,0,49,True,0.66501793757074,1.66560817022018,13,37,1.64392691062281
2099784219,0,113,True,1.36130335289391,7.73396050896271,13,101,7.72352258999704
1184028159,0,90,True,1.04496744476465,4.7117928101055,15,71,4.67377598011925
862288241,0,38,True,0.454603624135031,0.900762291496408,13,26,0.883807177161747
1333843299,0,42,True,0.5349095330971,1.14988440857301,13,30,1.13414834980943
2170464109,0,219,True,1.41387527982578,15.551972009946,5,170,15.4559787886057
2705014006,0,168,True,1.61871416839919,13.6688707340447,12,155,13.6442805337474
2468990893,0,141,True,1.39709013495701,9.90596306355011,12,130,9.90256589263933
3915829765,0,121,True,1.34419286758516,8.20608709904267,14,108,8.19257981537172
3957024168,0,310,True,1.85260593499998,28.7641808492129,5,296,28.7417494520852
2128606514,0,33,True,0.341584190643673,0.582426332756007,14,20,0.564121037830525
1741519417,0,622,True,1.82545709689627,56.8099266783036,20,113,8.93979343146043
2996663166,0,30,True,0.314199683953999,0.47956754781317,12,19,0.473734631507525
4178181242,0,179,True,1.50103260453681,13.5052668613558,16,91,6.4638685167532
563021890,0,71,True,0.936553891445594,3.37178310262897,14,58,3.34887721612815
3657378459,0,44,True,0.505504983047847,1.14478367804226,14,28,1.00620459609428
,,140.65,,1.13564775824645,10.3293115080612,13.05,91.55,7.08830402445615
