env_seed,episode_id,total_timesteps,stuck,mean_velocity,total_distance,collision_times,time_to_first_collision,distance_to_first_collision
3444837047,0,428,True,1.5847147661183,33.9641126206497,16,412,33.9284972406628
2669555309,0,122,True,1.27655496760414,7.70522103705573,14,101,7.48557504620704
2046530742,0,1000,False,2.02498162636827,101.190002258764,0,-1,-1
3581440988,0,117,True,1.28556748241046,7.56828219117845,13,102,7.53419956038092
1691623607,0,57,True,0.792889262475932,2.25168155857645,14,44,2.23429266314863
2099784219,0,301,True,1.75634349627098,26.454775380755,12,275,26.139944156381
1184028159,0,267,True,1.61167805251953,21.6203250035535,11,256,21.6178164853414
862288241,0,123,True,1.29485648414312,8.00183635100028,15,108,7.9762517585814
1333843299,0,805,True,0.768408989352562,30.8644218380171,20,731,30.4184549162346
2170464109,0,444,True,0.868515470928144,19.3075178670571,11,434,19.3069085926466
2705014006,0,1000,False,0.351635677981117,17.565130100548,1,148,12.1256944118006
2468990893,0,94,True,1.17633403014681,5.58792910649092,14,80,5.55258716270661
3915829765,0,196,True,1.48465119928518,14.5102237863102,12,168,14.2359820045237
3957024168,0,540,True,0.376287752426745,10.1664986742508,11,530,10.1661022931141
2128606514,0,166,True,0.947854727550379,7.84444718693092,16,102,7.42163092756806
1741519417,0,112,True,1.28721567445104,7.30434027981754,14,97,7.27796575729627
2996663166,0,31,True,0.307479459559468,0.50064777482087,13,19,0.492040650768669
4178181242,0,492,True,1.83051737200651,44.9443817093866,14,242,22.6766570711814
563021890,0,338,True,1.49019993551525,25.0659238228459,21,264,24.3358925242488
3657378459,0,408,True,1.82636175848167,37.3245635731369,16,385,37.1680045060258
,,352.05,,1.21715240927978,21.4871131060573,12.9,224.85,14.8547248864409
