env_seed,episode_id,total_timesteps,stuck,mean_velocity,total_distance,collision_times,time_to_first_collision,distance_to_first_collision
3444837047,0,1000,False,2.07079778031443,103.506840314404,15,47,2.49843719996283
2669555309,0,165,True,1.54278484463723,12.7847219669793,20,146,12.7514178584221
2046530742,0,181,True,1.69541477401674,15.4545078436744,15,167,15.4050334554528
3581440988,0,147,True,1.51871883288972,11.1733786681799,15,128,11.0244128380335
1691623607,0,56,True,0.797752752390827,2.27301659872112,13,44,2.25850052791266
2099784219,0,88,True,1.05978735173128,4.68514078993845,16,70,4.57701634673506
1184028159,0,259,True,1.74951227610785,22.7844494967431,14,85,6.26359207763544
862288241,0,119,True,1.41344654082022,8.46635993593072,15,105,8.39944930648022
1333843299,0,835,True,2.03050908541181,84.7082292975293,20,169,14.0941685212661
2170464109,0,1000,False,2.19407563048652,109.727939909401,0,-1,-1
2705014006,0,128,True,1.47860675685508,9.53427866614532,13,116,9.50653115264752
2468990893,0,207,True,1.7767496653805,18.4354436603607,15,193,18.3955676570766
3915829765,0,1000,False,2.17908624296909,108.991716014944,0,-1,-1
3957024168,0,37,True,0.459613446881985,0.848770396391842,13,25,0.828615738859003
2128606514,0,72,True,0.941675471404125,3.38763996047148,15,56,3.34770728993064
1741519417,0,399,True,1.82353249255724,36.3662870403628,17,230,21.6493539796642
2996663166,0,30,True,0.323462052986463,0.481466039521506,12,19,0.477649629979767
4178181242,0,228,True,1.81747687197539,20.7437137491708,14,215,20.7293984527035
563021890,0,405,True,1.9768127029664,40.0563576326768,14,392,40.0232530722357
3657378459,0,257,True,1.75293952275395,22.4894520020574,17,232,22.3262964382974
,,330.65,,1.53013775477684,31.8449854991802,13.65,121.85,10.6278200771647
